Name,Price,Mileage,FUEL TYPE,TRANSMISSION,Seating Capacity,Engine Capacity (cc),Top Speed (kmph)
Hero Splendor Plus,0.75 Lakh,70 kmpl,Petrol,Manual,2,97,90
Honda Shine,0.80 Lakh,65 kmpl,Petrol,Manual,2,124,100
Bajaj Pulsar 150,1.10 Lakh,50 kmpl,Petrol,Manual,2,149,120
TVS Apache RTR 160,1.20 Lakh,45 kmpl,Petrol,Manual,2,159,130
Royal Enfield Classic 350,2.15 Lakh,35 kmpl,Petrol,Manual,2,349,120
Royal Enfield Bullet 350,1.95 Lakh,37 kmpl,Petrol,Manual,2,346,115
KTM Duke 200,1.90 Lakh,33 kmpl,Petrol,Manual,2,199,140
KTM Duke 390,3.20 Lakh,28 kmpl,Petrol,Manual,2,373,170
Yamaha R15 V4,1.80 Lakh,45 kmpl,Petrol,Manual,2,155,140
Suzuki Gixxer SF,1.40 Lakh,45 kmpl,Petrol,Manual,2,155,135
TVS Raider 125,0.95 Lakh,56 kmpl,Petrol,Manual,2,124,100
Bajaj Platina 110,0.70 Lakh,72 kmpl,Petrol,Manual,2,115,90
Hero Xpulse 200,1.45 Lakh,40 kmpl,Petrol,Manual,2,199,115
Ather 450X,1.60 Lakh,146 km,Electric,Automatic,2,0,90
Ola S1 Pro,1.35 Lakh,181 km,Electric,Automatic,2,0,115
TVS iQube,1.20 Lakh,145 km,Electric,Automatic,2,0,82
Revolt RV400,1.30 Lakh,150 km,Electric,Automatic,2,0,85
